shop_name,shop_id,shop_city,shop_type
Yakutsk Ordzhonikidze-56 francs,0,Yakutsk,None
Yakutsk shopping center center "Central" franc,1,Yakutsk,shopping center
Adygea shopping center center "Mega",2,Adygea,shopping center
Balashikha shopping center center "October-Kinomir",3,Balashikha,shopping center
Volzhsky shopping center center "Volga Mall",4,Volzhsky,shopping center
Vologda shopping center center "Marmalade",5,Vologda,shopping center
Voronezh (Plekhanovskaya- 13),6,Voronezh,None
Voronezh shopping center center "Maksimir",7,Voronezh,shopping center
Voronezh shopping center center City-Park "Grad",8,Voronezh,shopping center
Outbound Trade,9,Outbound Trade,None
Zhukovsky st. Chkalova 39m?,10,Zhukovsky,None
Zhukovsky st. Chkalova 39mÂ²,11,Zhukovsky,None
E-shop online,12,online,online
Kazan shopping center center "Bekhetle",13,Kazan,shopping center
Kazan shopping center center "Parkhouse" II,14,Kazan,shopping center
Kaluga shopping center center "XXI century",15,Kaluga,shopping center
Kolomna shopping center center "Rio",16,Kolomna,shopping center
Krasnoyarsk shopping center center "Vzletka Plaza",17,Krasnoyarsk,shopping center
Krasnoyarsk shopping center center "June",18,Krasnoyarsk,shopping center
Kursk shopping center center "Pushkinsky",19,Kursk,shopping center
Moscow "Sale",20,Moscow,None
Moscow shopping center center "Afi Mall",21,Moscow,shopping center
Moscow Store C21,22,Moscow,None
Moscow shopping center center "Budenovsky" (pavilion A2),23,Moscow,shopping center
Moscow shoping center "Budenovsky" (pavilion K7),24,Moscow,shopping center
Moscow shopping center center "Atrium",25,Moscow,shopping center
Moscow shopping center center "Areal" (Belyaevo),26,Moscow,shopping center
Moscow shopping center center "MEGA Belaya Dacha II",27,Moscow,shopping center
Moscow shopping center center "MEGA Teply Stan" II,28,Moscow,shopping center
Moscow shopping center center "New Age"(Novokosino),29,Moscow,shopping center
Moscow shopping center center "Perlovsky",30,Moscow,shopping center
Moscow shopping center center "Semenovsky",31,Moscow,shopping center
Moscow shopping center center "Silver House",32,Moscow,shopping center
Mytishchi shopping center center "XL-3",33,Mytishchi,shopping center
N.Novgorod shopping center center "RIO",34,N.Novgorod,shopping center
N.Novgorod shopping center center "Fantastica",35,N.Novgorod,shopping center
Novosibirsk shopping center center "Novosibirsk Gallery",36,Novosibirsk,shopping center
Novosibirsk shopping center center "Mega",37,Novosibirsk,shopping center
Omsk shopping center center "Mega",38,Omsk,shopping center
Rostov-on-Don shopping center center "Megacenter Horizon",39,Rostov-on-Don,shopping center
Rostov-on-Don shopping center center "Megacenter Horizont" Ostrovnoy,40,Rostov-on-Don,shopping center
Rostov-on-Don shopping center center "Mega",41,Rostov-on-Don,shopping center
St. Petersburg shopping center center "Nevsky Center",42,St. Petersburg,shopping center
SPb shopping center center "Sennaya",43,St. Petersburg,shopping center
Samara shopping center center "Melody",44,Samara,shopping center
Samara shopping center center "Parkhouse",45,Samara,shopping center
Sergiev Posad shopping center center "7Ya",46,Sergiev Posad,shopping center
Surgut shopping center center "City Mall",47,Surgut,shopping center
Tomsk shopping center center "Emerald City",48,Tomsk,shopping center
Tyumen shopping center center "Crystal",49,Tyumen,shopping center
Tyumen shopping center center "Goodwin",50,Tyumen,shopping center
Tyumen shopping center center "Green Coast",51,Tyumen,shopping center
Ufa shopping center center "Central",52,Ufa,shopping center
Ufa shopping center center "Semya" 2,53,Ufa,shopping center
Khimki shopping center center "Mega",54,Khimki,shopping center
Digital warehouse 1C-Online,55,online,online
Chekhov shopping center center "Carnival",56,Chekhov,shopping center
Yakutsk Ordzhonikidze- 56,57,Yakutsk,None
Yakutsk shopping center center "Central",58,Yakutsk,shopping center
Yaroslavl shopping center center "Altair",59,Yaroslavl,shopping center
